客户	ERP CO.	工单号	产品码	款号	订单数量	订单交期
SJK	C010963-001	A01-001	FG23	SJ01614F54	100	2008/2/3
SD	C014441-001	A01-001	FG11	00584307RL	1450	2009/2/15
MEC	C018233-001	A01-001	FG92321	242793	30	2008/3/3
SD	C014441-002	A01-002	FG11	00584307LL	1150	2009/2/15
SJK	C010965-001	A01-003	FG23	SJ01633I54	250	2008/1/5
SD	C010733-007	A01-003	FG11	00584607RR	1500	2009/2/15
MEC	C010965-001	A01-003	FG92321	242795	156	2008/3/3
SJK	C011494-001	A01-004	FG11	SJ0529	200	2008/2/3
SD	C010734-001	A01-004	FG11	00584607LR	700	2009/2/15
MEC	C011494-001	A01-004	FG92321	242796	84	2008/3/3
SJK	C012608-001	A01-005	FG11	SJ0530	100	2008/1/27
SJK	C012608-001	A01-005	FG23	SJ01614F44-07	350	2009/2/2
MEC	C012608-001	A01-005	FG92321	242797	48	2008/3/3
SJK	C011495-001	A01-006	FG11	SJ0530	50	2008/2/3
SJK	C011495-001	A01-006	FG23	SJ01614F54-07	200	2009/2/2
MEC	C011495-001	A01-006	FG92321	242798	6	2008/3/3
SJK	C011496-001	A01-007	FG24	SJ0531	700	2008/2/3
SJK	C011496-001	A01-007	FG23	SJ01621G44	1500	2009/2/19
MEC	C011496-001	A01-007	FG92321	242799	54	2008/3/3
SJK	C011497-001	A01-008	FG24	SJ0532	300	2008/1/5
SJK	C011497-001	A01-008	FG23	SJ01621G54	1000	2009/2/2
MEC	C011497-001	A01-008	FG92321	242800	54	2008/3/3
SJK	C011498-001	A01-009	FG24	SJ0533	1000	2008/2/3
SJK	C011498-001	A01-009	FG23	SJ01633I44	1500	2009/2/2
MEC	C011498-001	A01-009	FG92321	242801	42	2008/3/3
SJK	C011499-001	A01-010	FG24	SJ0534	200	2008/2/3
SJK	C011499-001	A01-010	FG23	SJ01633I54	1000	2009/2/2
MEC	C011499-001	A01-010	FG92321	242802	18	2008/3/3
SD	C010734-009	A01-011	FG01	00589106RL	48	2008/1/15
SJK	C011598-001	A01-011	FG23	SJ01646F44	250	2009/2/2
MEC	C011598-001	A01-011	FG91321	242751	30	2008/3/3
SD	C010734-010	A01-012	FG01	00589106LL	48	2008/1/15
SJK	C011598-002	A01-012	FG23	SJ01646F54	150	2009/2/2
MEC	C011598-002	A01-012	FG91321	242752	96	2008/3/3
SD	C010734-011	A01-013	FG01	00589206RL	80	2008/1/15
SJK	C011598-003	A01-013	FG23	SJ01654A44-07	300	2009/2/2
MEC	C011598-003	A01-013	FG91321	242753	144	2008/3/3
SD	C010734-012	A01-014	FG01	00589206LL	48	2008/1/15
SJK	C011598-004	A01-014	FG23	SJ01654A64-07	100	2009/2/2
MEC	C011598-004	A01-014	FG91321	242754	78	2008/3/3
SD	C010734-015	A01-015	FG01	00589306RL	24	2008/1/15
SJK	C011598-005	A01-015	FG31	SJ0522	300	2009/2/2
MEC	C011598-005	A01-015	FG91321	242755	30	2008/3/3
SD	C010734-016	A01-016	FG01	00589306LL	24	2008/1/15
SJK	C011598-006	A01-016	FG31	SJ0523	100	2009/1/8
MEC	C011598-006	A01-016	FG91321	242761	18	2008/3/3
SD	C010734-017	A01-017	FG01	00589406RR	24	2008/1/15
SJK	C011598-007	A01-017	FG31	SJ0524	200	2009/3/4
MEC	C011598-007	A01-017	FG91321	242762	54	2008/3/3
SD	C010734-018	A01-018	FG01	00589406LR	24	2008/1/15
SJK	C011598-008	A01-018	FG24	SJ0531	750	2009/2/2
MEC	C011598-008	A01-018	FG91321	242763	84	2008/3/3
SJK	C011598-009	A01-019	FG24	SJ0532	250	2008/12/15
MEC	C011598-009	A01-019	FG91321	242764	48	2008/3/3
SJK	C011598-010	A01-020	FG24	SJ0535	250	2008/12/15
MEC	C011598-010	A01-020	FG91321	242765	18	2008/3/3
SD	C010734-021	A01-021	FG01	00589906RL	24	2008/1/15
SJK	C011598-011	A01-021	FG23	SJ01621G44	1000	2009/3/2
MEC	C011598-011	A01-021	FG92321	242772	24	2008/3/3
SD	C010734-022	A01-022	FG01	00589906LL	30	2008/1/15
SJK	C011598-012	A01-022	FG23	SJ01621G54	1000	2009/3/4
MEC	C011598-012	A01-022	FG92321	242773	78	2008/3/3
SD	C010734-023	A01-023	FG01	00588906RR	24	2008/1/15
SJK	C011598-013	A01-023	FG23	SJ01633I44	1500	2009/3/4
MEC	C011598-013	A01-023	FG92321	242774	114	2008/3/3
SD	C010734-024	A01-024	FG01	00588906LR	20	2008/1/15
SJK	C011598-014	A01-024	FG23	SJ01633I54	500	2009/3/11
MEC	C011598-014	A01-024	FG92321	242775	66	2008/3/3
SD	C010734-025	A01-025	FG01	00583906RL	16	2008/4/24
SJK	C011598-015	A01-025	FG23	SJ01646F44	250	2009/3/11
MEC	C011598-015	A01-025	FG92321	242776	36	2008/3/3
SD	C010734-026	A01-026	FG01	00583906LL	16	2008/4/24
SJK	C011598-016	A01-026	FG23	SJ01654A44-07	300	2009/3/11
MEC	C011598-016	A01-026	FG92321	242777	12	2008/3/3
SD	C010734-027	A01-027	FG01	00584006RR	60	2008/1/15
SJK	C011598-017	A01-027	FG23	SJ01654A64-07	100	2009/3/11
MEC	C011598-017	A01-027	FG92321	242778	84	2008/3/3
SJK	C011598-018	A01-028	FG24	SJ0531	750	2008/11/9
MEC	C011598-018	A01-028	FG92321	242779	84	2008/3/3
MEC	C011598-019	A01-029	FG92321	242780	72	2008/3/3
SD	C011636-001	A01-030	FG01	00588506RR	60	2008/1/15
CRP	C011598-020	A01-030	FG31	SG11098F-C	432	2009/2/2
MEC	C011598-020	A01-030	FG92321	242781	30	2008/3/3
MEC	C011598-021	A01-031	FG91321	242728	30	2008/3/3
MEC	C011598-022	A01-032	FG91321	242729	96	2008/3/3
MEC	C011598-023	A01-033	FG91321	242731	144	2008/3/3
SJK	C014932-001	A01-034	FG24	SJ0532	350	2008/12/15
MEC	C014932-001	A01-034	FG91321	242733	78	2008/3/3
SD	C011846-001	A01-035	FG01	00585106LL	76	2008/1/15
SJK	C011598-025	A01-035	FG23	SJ01614F54-07	300	2009/1/1
MEC	C011598-025	A01-035	FG91321	242734	30	2008/3/3
SD	C011870-003	A01-037	FG01	00585206LR	76	2008/1/15
SJK	C011598-027	A01-037	FG23	SJ01654A44-07	700	2009/3/2
MEC	C011598-027	A01-037	FG91321	242741	54	2008/3/3
SD	C011870-004	A01-038	FG01	00585306RL	80	2008/1/15
SJK	C011598-028	A01-038	FG23	SJ01654A64-07	250	2009/3/2
MEC	C011598-028	A01-038	FG91321	242742	84	2008/3/3
SD	C011904-001	A01-039	FG01	00585306LL	60	2008/1/15
SJK	C011598-029	A01-039	FG31	SJ0522	300	2009/3/2
